Timestamp,Voltage (V),Power Factor,Grid Supply (kW),Grid Frequency (Hz),Generation Capacity (MW),Power Consumption (kW),Current (A),Reactive Power (kVAR),Temperature (°C),Humidity (%),Transformer Fault,Line Trip Events,Overload Condition,Grid Collapse Events
2010-01-01,332483.57,0.942,4308020.04,49.87,5015.48,4447274.99,8199.24,1586454.64,33.1,28.5,0,0,0,0
2010-01-02,329308.68,0.82,4602458.9,50.15,3352.51,4419303.1,9450.1,3086000.31,29.7,26.2,0,0,0,0
2010-01-03,333238.44,0.916,3824460.0,50.17,4029.83,4591651.55,8682.85,2008252.36,33.1,48.3,0,0,1,0
2010-01-04,337615.15,0.84,3544375.4,50.12,3092.85,4391616.83,8943.47,2839887.8,27.8,32.4,0,0,1,0
2010-01-05,328829.23,0.94,3016732.23,49.79,3786.62,3116647.78,5821.18,1130789.14,41.8,31.5,0,0,0,0
2010-01-06,328829.32,0.908,3607694.06,49.91,4155.7,3709185.49,7172.4,1711560.83,35.9,38.4,0,0,0,0
2010-01-07,337896.06,0.913,3954537.26,50.03,4256.29,4120662.98,7711.13,1840379.6,33.9,13.5,0,0,0,0
2010-01-08,333837.17,0.833,4639649.3,49.83,4294.51,4094699.8,8502.67,2721177.19,32.2,48.5,0,0,0,0
2010-01-09,327652.63,0.866,4269253.48,50.27,4198.7,4358427.13,8863.58,2511333.28,30.1,54.0,0,0,0,0
2010-01-10,332712.8,0.893,4122034.16,49.52,4290.21,5035040.77,9787.71,2542174.31,28.1,44.2,0,0,1,0
2010-01-11,327682.91,0.915,3839952.14,49.84,4022.87,3967174.1,7635.02,1743427.7,31.7,39.1,0,0,0,0
2010-01-12,327671.35,0.816,3766733.71,49.9,3476.07,3563317.09,7698.06,2528002.45,29.4,32.8,0,0,0,0
2010-01-13,287455.58,0.944,4562259.04,49.05,3074.17,5701683.72,12126.53,1985955.68,29.6,24.2,0,0,1,1
2010-01-14,320433.6,0.934,4080295.42,49.72,3726.66,4012073.37,7743.56,1540698.5,27.7,46.9,0,0,0,0
2010-01-15,321375.41,0.841,3158959.72,50.13,3932.69,3295915.75,7044.3,2124196.03,32.7,44.2,0,0,0,0
2010-01-16,327188.56,0.923,3730584.14,50.01,4626.97,3443758.63,6580.78,1431354.52,30.9,39.5,0,0,0,0
2010-01-17,324935.84,0.878,3656713.59,50.31,3949.7,3460485.5,7005.01,1888915.62,33.6,38.3,0,0,0,0
2010-01-18,331571.24,0.869,3781494.4,50.31,3901.72,4249514.55,8512.3,2416608.45,33.4,38.0,0,0,1,0
2010-01-19,325459.88,0.847,4225164.26,50.09,4192.76,4485378.09,9392.32,2813164.31,32.7,29.7,0,0,0,0
2010-01-20,322938.48,0.887,3957022.05,50.06,3864.99,3847785.53,7754.18,2001606.14,40.0,60.0,0,0,0,0
2010-01-21,337328.24,0.909,3969253.84,50.01,4405.27,4215163.06,7932.43,1926822.69,34.5,32.1,0,0,0,0
2010-01-22,328871.12,0.862,4525389.26,49.47,4989.67,4476901.21,9121.48,2636968.32,28.2,30.7,0,0,0,0
2010-01-23,330337.64,0.894,3721415.56,49.72,5095.39,3615816.61,7065.85,1808356.12,33.4,46.2,0,0,0,0
2010-01-24,322876.26,0.905,4745679.81,50.02,4048.52,5535377.25,10938.34,2603640.97,31.8,34.7,0,0,1,0
2010-01-25,327278.09,0.907,3731476.96,50.12,4168.45,4210179.77,8191.71,1958864.71,28.0,34.8,0,0,1,0
2010-01-26,330554.61,0.808,4035679.28,50.06,4789.43,4228878.2,9143.66,3085894.54,27.7,49.1,0,0,0,0
2010-01-27,324245.03,0.929,3887518.56,49.82,3925.02,4138005.9,7931.57,1648920.71,33.4,41.8,0,0,0,0
2010-01-28,331878.49,0.869,4049367.65,50.19,4339.6,4248435.37,8507.47,2422054.55,34.1,42.3,0,0,0,0
2010-01-29,326996.81,0.839,4177836.8,50.3,3432.42,4590193.16,9655.56,2972615.14,28.9,20.8,0,0,0,0
2010-01-30,328541.53,0.836,4173534.1,50.19,3844.58,4048536.06,8507.53,2654563.33,34.9,39.0,0,0,0,0
2010-01-31,326991.47,0.872,3698753.07,50.2,4578.06,4202709.92,8505.32,2354126.53,32.9,24.9,0,0,1,0
2010-02-01,305641.26,0.933,3550834.13,50.0,3640.9,4472932.46,9055.79,1724944.49,35.6,30.5,1,0,1,1
2010-02-02,301969.83,0.857,5001268.72,49.8,3935.97,6041609.02,13482.59,3636791.99,35.3,36.8,1,1,1,1
2010-02-03,324711.45,0.912,3806406.26,50.03,3212.9,3811058.44,7426.33,1708970.08,31.5,34.6,0,0,0,0
2010-02-04,334112.72,0.815,4279684.98,50.1,5002.88,4853646.77,10297.01,3456936.37,36.9,41.5,0,0,1,0
2010-02-05,323895.78,0.871,3356943.48,50.07,4631.51,3474273.24,7106.84,1955836.73,28.6,42.7,0,0,0,0
2010-02-06,331044.32,0.949,3888154.91,49.98,4094.05,3810822.2,7005.17,1269341.58,39.2,43.5,0,0,0,0
2010-02-07,320201.65,0.916,3949120.25,49.83,4253.76,3994705.03,7867.03,1754701.59,29.4,21.6,0,0,0,0
2010-02-08,323359.07,0.832,4189126.03,49.98,4197.95,4720811.85,10136.02,3152997.78,31.9,58.6,0,0,1,0
2010-02-09,290543.3,0.875,2911018.34,50.68,4692.16,2888223.74,6557.59,1596320.97,30.3,34.8,0,1,0,1
2010-02-10,333692.33,0.835,4066456.25,49.91,3740.6,4125253.58,8547.41,2717997.67,30.9,47.1,0,0,0,0
2010-02-11,308326.12,0.861,3540103.42,50.39,4366.13,5202688.62,11309.28,3067310.31,40.8,9.9,0,0,1,1
2010-02-12,329421.76,0.917,4129738.28,50.15,4538.71,4266756.07,8154.73,1855842.28,30.6,32.3,0,0,0,0
2010-02-13,328494.48,0.916,3585468.32,49.94,4607.66,3862559.31,7413.8,1695302.82,34.6,20.4,0,0,0,0
2010-02-14,322607.39,0.834,3657806.92,50.28,2870.31,4238216.37,9092.22,2801578.34,31.3,26.4,0,0,1,0
2010-02-15,326400.78,0.938,3890548.96,49.93,3700.36,4432241.62,8355.15,1633071.19,34.8,35.5,0,0,1,0
2010-02-16,297050.24,0.889,3579068.21,50.27,3490.41,4351884.59,9515.71,2242954.0,30.4,31.7,0,1,1,1
2010-02-17,335285.61,0.857,3809786.22,50.09,4074.79,3950598.38,7938.02,2375623.98,32.8,48.1,0,0,0,0
2010-02-18,331718.09,0.875,3522649.69,50.0,2991.98,4017498.81,7988.66,2219667.55,33.9,52.7,0,0,1,0
2010-02-19,283559.45,0.891,3266731.82,49.97,2977.19,4402801.59,10063.83,2246341.77,29.8,25.3,0,0,1,1
2010-02-20,331620.42,0.884,4407182.82,49.98,5085.05,4588736.66,9037.47,2426873.97,40.3,30.1,0,1,0,0
