Timestamp,Voltage (V),Power Factor,Grid Supply (kW),Grid Frequency (Hz),Generation Capacity (MW),Power Consumption (kW),Current (A),Reactive Power (kVAR),Temperature (°C),Humidity (%),Transformer Fault,Line Trip Events,Overload Condition,Grid Collapse Events
2010-01-03,285495.26,0.835,3854018.91,50.12,2755.84,4134877.48,10020.19,2730183.82,25.9,26.5,1,1,0,1
2010-01-10,298955.92,0.818,3664316.13,49.64,3670.88,4744906.44,11201.12,3335573.53,23.5,29.6,0,1,1,1
2010-01-17,333238.44,0.812,3582076.32,49.63,4226.75,4204517.16,8976.12,3027157.97,34.4,42.6,0,0,1,0
2010-01-24,289103.05,0.904,3213457.36,49.81,3508.85,4300460.65,9495.55,2028374.7,32.4,32.8,0,0,1,1
2010-01-31,295512.49,0.851,4822482.85,50.34,4029.49,5944028.34,13646.6,3668447.92,31.3,21.5,0,0,1,1
2010-02-07,289455.03,0.909,3558716.65,49.93,4223.44,4374853.42,9602.72,2009583.33,36.2,52.7,1,1,1,1
2010-02-14,337896.06,0.81,3911498.55,49.61,3828.73,3866781.07,8158.8,2801476.49,33.9,38.2,0,0,0,0
2010-02-21,306301.93,0.847,3889274.68,50.31,4085.23,4540653.3,10101.23,2846302.73,36.8,20.9,1,0,1,1
2010-02-28,279298.97,0.881,4122962.68,49.88,3518.63,5445040.07,12777.12,2925236.98,27.8,30.6,1,1,1,1
2010-03-07,313279.97,0.919,4326294.89,50.6,3896.69,4352382.2,8731.79,1872316.87,31.9,36.1,1,1,0,1
2010-03-14,299617.66,0.848,4344189.4,49.52,4305.11,6692378.53,15210.81,4185992.44,27.1,52.0,0,1,1,1
2010-03-21,279030.59,0.894,3766769.02,49.96,4078.49,5064857.52,11723.94,2540118.05,31.3,23.9,0,0,1,1
2010-03-28,296105.8,0.933,3933151.31,49.54,3706.73,5458275.93,11408.13,2107163.95,31.3,44.8,1,1,1,1
2010-04-04,294114.77,0.892,4113031.98,49.7,4112.11,4794935.8,10547.65,2424850.03,29.9,84.0,0,1,1,1
2010-04-11,301057.48,0.835,3900523.55,49.89,4357.3,4498223.17,10331.74,2964905.47,28.1,63.7,1,1,1,1
2010-04-18,306076.59,0.804,4642938.23,50.46,2975.03,5034993.05,11817.77,3728276.16,29.9,67.2,0,1,0,1
2010-04-25,292266.72,0.931,4196389.98,50.39,4579.54,5055709.53,10732.94,1989946.7,30.1,59.6,0,0,1,1
2010-05-02,331571.24,0.803,4293951.11,49.69,3831.87,4720621.65,10233.95,3501261.91,34.5,68.0,0,0,0,0
2010-05-09,325459.88,0.931,4265152.51,50.32,4212.74,5031200.79,9584.47,1969328.18,27.1,69.6,0,0,1,0
2010-05-16,288883.9,0.879,4469389.54,50.39,4598.62,5005588.99,11376.64,2710700.0,25.2,76.6,0,0,1,1
2010-05-23,302773.03,0.941,4072408.62,49.74,3314.16,5250078.61,10640.52,1890505.49,28.7,80.9,1,1,1,1
2010-05-30,294975.14,0.92,3481267.22,49.67,3645.28,4284488.97,9116.99,1827541.2,25.6,62.5,0,1,1,1
2010-06-06,289060.08,0.95,4159875.18,50.35,3855.73,4418256.71,9292.24,1457063.5,32.4,50.3,0,0,0,1
2010-06-13,274878.21,0.853,3739457.24,50.11,3608.12,4717944.55,11622.6,2891574.88,27.2,69.8,0,1,1,1
2010-06-20,300440.58,0.915,3788553.33,49.56,4867.47,4415484.58,9272.59,1945910.62,26.3,72.9,1,1,1,1
2010-06-27,303025.71,0.86,4234545.61,50.05,3571.61,5425228.57,12015.26,3214977.54,26.6,72.5,1,0,1,1
2010-07-04,303205.12,0.872,4495313.23,49.64,3722.23,5837638.81,12747.73,3277309.21,30.2,66.7,1,1,1,1
2010-07-11,331878.49,0.894,4008508.63,50.0,4102.19,3892527.04,7573.44,1949541.32,27.5,71.2,0,0,0,0
2010-07-18,326996.81,0.931,4123533.21,49.75,3398.93,4326804.84,8205.2,1695714.4,26.1,85.2,0,0,0,0
2010-07-25,308738.47,0.948,4680885.98,50.46,3802.16,6235572.24,12305.36,2101892.77,33.0,73.8,1,1,1,1
2010-08-01,283381.0,0.915,4096301.27,50.38,4158.73,4805610.43,10697.49,2115522.68,25.4,66.3,0,0,1,1
